ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
8848354961888364614-2407080031-15,1,Oranienburg|Lehnitz|Borgsdorf|Birkenwerder(b Berlin)|Hohen Neuendorf(b Berlin)|Berlin-Frohnau|Berlin-Hermsdorf|Berlin-Waidmannslust|Berlin-Wittenau (Wilhelmsruher Damm)|Berlin-Wilhelmsruh|Berlin-Schönholz|Berlin Wollankstraße|Berlin Bornholmer Str.|Berlin Gesundbrunnen(S),8089018,4,Humboldthain,Berlin,Berlin,13357,13.379277,52.544795,2024-07-08 01:08:00,2024-07-08 01:09:00,2024-07-08 01:11:00,2024-07-08 01:11:00,3,2,,on_time,on_time
7584548684773334673-2407080043-12,2,Bernau (S)|Bernau-Friedenstal|Zepernick(Bernau)|Röntgental|Berlin-Buch|Berlin-Karow|Berlin-Blankenburg|Berlin-Pankow-Heinersdorf|Berlin-Pankow|Berlin Bornholmer Str.|Berlin Gesundbrunnen(S),8089018,4,Humboldthain,Berlin,Berlin,13357,13.379277,52.544795,2024-07-08 01:11:00,2024-07-08 01:11:00,2024-07-08 01:11:00,2024-07-08 01:11:00,0,0,,on_time,on_time
-4275406157660819340-2407080034-21,1,Berlin-Wannsee (S)|Berlin-Nikolassee|Berlin-Schlachtensee|Berlin Mexikoplatz|Berlin-Zehlendorf|Berlin Sundgauer Str|Berlin-Lichterfelde West|Berlin Botanischer Garten|Berlin Rathaus Steglitz|Berlin Feuerbachstr.|Berlin-Friedenau|Berlin-Schöneberg|Berlin Julius-Leber-Brücke|Berlin Yorckstr.(S1)|Berlin Anhalter Bf|Berlin Potsdamer Platz (S)|Berlin Brandenburger Tor|Berlin Friedrichstraße (S)|Berlin Oranienburger Straße|Berlin Nordbahnhof,8089018,4,Humboldthain,Berlin,Berlin,13357,13.379277,52.544795,2024-07-08 01:16:00,2024-07-08 01:17:00,2024-07-08 01:18:00,2024-07-08 01:19:00,2,2,,on_time,on_time
-7859647027126299844-2407080054-21,1,Berlin-Wannsee (S)|Berlin-Nikolassee|Berlin-Schlachtensee|Berlin Mexikoplatz|Berlin-Zehlendorf|Berlin Sundgauer Str|Berlin-Lichterfelde West|Berlin Botanischer Garten|Berlin Rathaus Steglitz|Berlin Feuerbachstr.|Berlin-Friedenau|Berlin-Schöneberg|Berlin Julius-Leber-Brücke|Berlin Yorckstr.(S1)|Berlin Anhalter Bf|Berlin Potsdamer Platz (S)|Berlin Brandenburger Tor|Berlin Friedrichstraße (S)|Berlin Oranienburger Straße|Berlin Nordbahnhof,8089018,4,Humboldthain,Berlin,Berlin,13357,13.379277,52.544795,2024-07-08 01:36:00,2024-07-08 01:37:00,2024-07-08 01:36:00,2024-07-08 01:37:00,0,0,,on_time,on_time
6159559709713070422-2407080029-5,22,Frankfurt(Main)Hbf|Frankfurt-Höchst|Hofheim(Taunus)|Niedernhausen(Taunus),8003041,5,Idstein (Taunus),Hessen,Idstein,65510,8.257264,50.21599,2024-07-08 01:06:00,2024-07-08 01:07:00,2024-07-08 01:06:00,2024-07-08 01:07:00,0,0,,on_time,on_time
1811066918985459005-2407080031-9,16,München Hbf|Dachau Bahnhof|Petershausen(Obb)|Paindorf|Reichertshausen(Ilm)|Pfaffenhofen(Ilm)|Rohrbach(Ilm)|Baar-Ebenhausen,8000183,2,Ingolstadt Hbf,Bayern,Ingolstadt,85051,11.437337,48.744541,2024-07-08 01:28:00,2024-07-08 01:29:00,2024-07-08 01:30:00,2024-07-08 01:32:00,2,3,Bauarbeiten,on_time,on_time
5822124379955087267-2407080144-1,16,,8003076,3,Ingolstadt Nord,Bayern,Ingolstadt,85049,11.4322495,48.7736902,,2024-07-08 01:44:00,,,0,0,,on_time,on_time
6478947855870091217-2407080028-19,41,Berlin Beusselstraße|Berlin Westhafen|Berlin-Wedding|Berlin Gesundbrunnen(S)|Berlin Schönhauser Allee|Berlin Prenzlauer Allee|Berlin Greifswalder Str|Berlin Landsberger Allee|Berlin Storkower Str|Berlin Frankfurter Allee|Berlin Ostkreuz (S)|Berlin Treptower Park|Berlin Sonnenallee|Berlin-Neukölln|Berlin Hermannstraße|Berlin-Tempelhof|Berlin Südkreuz (S)|Berlin-Schöneberg,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:11:00,2024-07-08 01:12:00,2024-07-08 01:11:00,2024-07-08 01:12:00,0,0,,on_time,on_time
-2061611448050358640-2407080048-10,42,Berlin Beusselstraße|Berlin Jungfernheide (S)|Berlin Westend|Berlin Messe Nord/ICC (Witzleben)|Berlin Westkreuz|Berlin-Halensee|Berlin Hohenzollerndamm|Berlin Heidelberger Platz|Berlin Bundesplatz,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:06:00,2024-07-08 01:07:00,2024-07-08 01:06:00,2024-07-08 01:07:00,0,0,,on_time,on_time
-5754569416525540839-2407080108-10,42,Berlin Beusselstraße|Berlin Jungfernheide (S)|Berlin Westend|Berlin Messe Nord/ICC (Witzleben)|Berlin Westkreuz|Berlin-Halensee|Berlin Hohenzollerndamm|Berlin Heidelberger Platz|Berlin Bundesplatz,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:26:00,2024-07-08 01:27:00,2024-07-08 01:26:00,2024-07-08 01:27:00,0,0,,on_time,on_time
-7350647527788408790-2407080058-10,42,Berlin Beusselstraße|Berlin Jungfernheide (S)|Berlin Westend|Berlin Messe Nord/ICC (Witzleben)|Berlin Westkreuz|Berlin-Halensee|Berlin Hohenzollerndamm|Berlin Heidelberger Platz|Berlin Bundesplatz,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:16:00,2024-07-08 01:17:00,2024-07-08 01:16:00,2024-07-08 01:17:00,0,0,,on_time,on_time
-3803294525548239081-2407080038-19,41,Berlin Beusselstraße|Berlin Westhafen|Berlin-Wedding|Berlin Gesundbrunnen(S)|Berlin Schönhauser Allee|Berlin Prenzlauer Allee|Berlin Greifswalder Str|Berlin Landsberger Allee|Berlin Storkower Str|Berlin Frankfurter Allee|Berlin Ostkreuz (S)|Berlin Treptower Park|Berlin Sonnenallee|Berlin-Neukölln|Berlin Hermannstraße|Berlin-Tempelhof|Berlin Südkreuz (S)|Berlin-Schöneberg,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:18:00,2024-07-08 01:19:00,2024-07-08 01:18:00,2024-07-08 01:19:00,0,0,,on_time,on_time
3564208461273482936-2407080017-16,45,Flughafen BER (S-Bahn)|Waßmannsdorf|Schönefeld(bei Berlin)|Berlin Grünbergallee|Berlin-Altglienicke|Berlin-Adlershof|Berlin-Johannisthal|Berlin-Schöneweide (S)|Berlin Baumschulenweg|Berlin Köllnische Heide|Berlin-Neukölln|Berlin Hermannstraße|Berlin-Tempelhof|Berlin Südkreuz (S)|Berlin-Schöneberg,8089106,4,Innsbrucker Platz,Berlin,Berlin,10827,13.342197,52.478084,2024-07-08 01:01:00,2024-07-08 01:01:00,2024-07-08 01:01:00,2024-07-08 01:02:00,0,1,,on_time,on_time
-2808500781861035695-2407080005-29,8,Herrsching|Seefeld-Hechendorf|Steinebach|Weßling(Oberbay)|Neugilching|Gilching-Argelsried|Geisenbrunn|Germering-Unterpfaffenhofen|Harthaus|München-Freiham|München-Neuaubing|München-Westkreuz|München-Pasing|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor|München Rosenheimer Platz|München Ost|München Leuchtenbergring|München-Daglfing|München-Englschalking|München-Johanneskirchen|Unterföhring,8003092,4,Ismaning,Bayern,Ismaning,85737,11.679489,48.226012,2024-07-08 01:21:00,2024-07-08 01:22:00,2024-07-08 01:21:00,2024-07-08 01:22:00,0,0,,on_time,on_time
